CaseID,par_weight,teen_weight,xspanish,xprimelan,QS1,QS2,P1_A,P1_B,P1_C,P1_D,P1_E,P2_A,P2_B,P2_C,P2_D,P3,P4,P5,P6,P7_A,P7_B,P7_C,P8,P9,P10,P10_1,P11,P11_5,P12_A,P12_B,P12_C,P13_A,P13_B,P13_C,P13_D,P13_E,P14_F,P14_G,P14_H,P15_A,P15_B,P15_C,P15_D,P15_E,QS9,QS10_1,QS10_2,QS10_3,QS10_4,QS10_5,QS10_6,QS10_7,QS10_8,QS10_9,QS10_10,QS10_11,QS10_12,QS10_13,QS10_14,QS10_15,QS10_Refused,QS10_3_Specify,QS10_10_Specify,QS10_14_Specify,QS10_15_Specify,KINTMOB,K2,K3_A,K3_B,K3_C,K3_D,K3_E,K4,K5_A,K5_B,K5_C,K5_D,K5_E,K5_1_A,K5_1_B,K5_1_C,K6_1,K6_2,K6_3,K6_4,K6_5,K6_6,K6_7,K6_8,K7,K8,K8_Refused,KFB1A,KFB1B,KFB1C,K9,KF10_1,KF10_1_Specify,KF10_2,KF10_2_Specify,KF10_3,KF10_3_Specify,KFMEET,KFMEET2_1,KFMEET2_2,KFMEET2_3,KFMEET2_4,KFMEET2_5,KFMEET2_8,KFMEET2_Refused,KFMEET2_8_Specify,KFMEET3,KFR11_A,KFR11_B,KFR11_C,KFR11_D,KFR11_E,KFR11_F,KFR11_G,KFR11_H,KFR11_I,KGAME1,KGAME2,KGAME3_1,KGAME3_2,KGAME3_3,KGAME4,KGAME5_A,KGAME5_B,KGAME5_C,KGAME5_D,KF12,KF13_A,KF13_B,KF13_C,KF13_D,KF13_E,KF13_F,KF13_G,KF13_H,KF13_I,KF13_Specify,KF13_1,KF13_1_Specify,KF13_2,KF13_2_Specify,KF13_3,KF13_3_Specify,KFSNS1_A,KFSNS1_B,KFSNS1_C,KFSNS1_D,KFSNS1_E,KFSNS2_A,KFSNS2_B,KFSNS2_C,KFSNS2_D,KFSNS3_A,KFSNS3_B,KFSNS3_C,KF14,KFSNS4_A,KFSNS4_B,KFSNS4_C,KF15,KDATE1,DT1,DT1A,KR1,REL3,REL3_Refused,KR2,KDATE2_A,KDATE2_B,KDATE2_C,KDATE2_D,KDATE2_E,KDATE2_F,KDATE2_G,KDATE2_H,KDATE2_I,KDATE2_Specify,KR3_A,KR3_B,KR3_C,KR4_1,KR4_2,KR4_3,KR4_4,KR4_5,KR4_6,KR4_7,KR4_Refused,KR4_Specify,KR5,KR6_A,KR6_B,KR6_C,KR6_D,KR6_E,KR6_F,KR6_G,KR6_H,KR6_I,KR7_A,KR7_B,KR7_C,KR7_D,KR7_E,KR7_F,KR7_G,KR7_H,KR7_I,KR7_J,KR8,KR9,KRSNS1_A,KRSNS1_B,KRSNS1_C,KRSNS1_D,KRSNS2_A,KRSNS2_B,KRSNS2_C,KRSNS2_D,KRSNS2_E,KRSNS3_A,KRSNS3_B,KRSNS3_C,REL8_A,REL8_B,REL8_C,REL8_D,REL8_E,KR10_1,KR10_2,KR10_3,KR10_4,KR10_5,KR10_6,KR11_A,KR11_B,KR11_C,KR11_D,KR11_E,KR11_F,KR11_G,KR11_H,KR11_I,KR11_J,KR11_K,KR11_Refused,KR11_Specify,KR12_1,KR12_2,KR12_3,KR12_4,KR12_5,KR12_6,KR12_7,KR12_8,KR12_9,KR12_10,KR12_11,KR12_Refused,KR12_Specify,KR13_A,KR13_B,KR13_C,KR13_D,KR13_E,KR13_F,KRSNS4_A,KRSNS4_B,KRSNS4_C,KRCELL_D,KRCELL_E,DT2_A,DT2_B,DT2_C,DT2_D,DT2_E,DT2_F,DT2_G,DT2_H,DT2_I,DT4,DT4A,KRS,KSO,KSO_Specify,KTG,KEND,Teen_Ethn,Child_age,Child_gender,PPAGE,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,ppreg9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,PPNET
18, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51,8,1,4,1,1,4,1,5,3,1,4,9,1,93,0,1,0,2,1,7,1
20,.6265,1.0635,1,5,2,2,1,2,2,1,2,1,2,1,2,2,1,1,1,1,3,1,2, ,2, ,1, ,2,1,3,2,2,2,1,2,2,2,2,3,3,3,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,1,1,2,1,2,1,50,1,2,1,2,1,2,2,1,1,2,1,1,1,2,2,2,1, , ,37, ,6,2,1, ,3, ,5, ,3,1,0,0,0,0,0,0, ,2,1,1,1,2,3,3,1,2,3,4,4,1,1,1,1,3,2,3,3,3,1,2,1,1,2,1,2,1,2, ,6, ,1, ,7, ,2,3,2,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1, ,1, , , ,1,1,1,1,2,1,2,1,2, ,2,2,2,1,1,1,0,1,0,0,0, ,2,2,1,1,3,3,3,2,3,3,1,1,1,1,1,1,1,2,2,1,2,2,2,2,3,2,3,3,3,2,2,1,1,1,1,1,1,1,1,5,10,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0, ,0,0,0,0,0,0,0,0,0,0,1,0, ,1,2,2,2,1,2,2,1,2,2,2,3,3,3,3,3,3,3,3,3,4,4,2,2, ,4,2,1,15,1,53,10,3,1,2,1,3,1,10,3,1,4,9,2,93,0,0,0,2,1,4,1
21,.6489,.5023,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2, ,2,1,1, ,1,1, ,1, ,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,1,1,2,1,2,2,500,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,7, , , ,-99,-99,2,3, ,1, ,2, ,4,0,0,1,0,0,0,0, ,1,1,1,1,1,1,3,3,4, , , , , , , , , , , ,1,1,2,2,2,1,1,2,1,2, ,8,facetime on the iphone,6, ,7, ,1,3,1,3,3,3,2,1,1,1,1,1,2,1,1,1,1,2, , , , , , ,1,1,1,1,2,1,2,1,2, ,1,1, ,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,2, ,4,2,1,16,2,41,10,3,1,1,1,2,1,13,3,1,2,3,1,31,0,0,0,1,1,1,1
23,.641,.5264,1,5,1,1,1,2,2,1,2,1,2,1,2,3,1,2, ,1,1,1,2,2,2, ,1, ,2,2,2,2,2,2,1,2,2,2,2,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,2,2,50,1,1,1,2,1,2,2,2,1,1,1,1,1,2,2,2,2, , ,168,213,121,2,1, ,5, ,6, ,4,1,0,0,0,0,0,0, ,1,2,3,1,2,2,2,3,2,2,3,4,1,1,1,2,1,2,3,3,2,2,1,1,2,1,1,2,1,1,friends house,9, , , , , ,2,3,2,2,3,2,2,1,1,2,2,2,2,1,1,1,1,1,1, ,1, , , ,1,1,1,1,1,2,1,1,2, ,2,2,2,0,1,0,0,0,0,0,0, ,2,2,2,1,1,1,1,3,3,1,1,1,1,2,2,1,1,2,2,1,3,3,2,2,3,2,2,3,2,2,2,1,1,1,2,1,1,2,1,9,7,8,3,2,7,0,0,0,0,0,0,0,0,0,0,1,0, ,0,0,0,0,0,0,0,0,0,0,1,0, ,2,2,2,2,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,2,2, ,4,2,1,17,1,50,11,3,1,2,0,3,1,7,3,0,2,4,1,41,0,0,0,1,2,6,1
24, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,47,12,4,1,2,1,4,1,18,1,1,3,6,1,62,0,0,0,2,2,1,1
25, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,55,12,4,1,1,1,4,1,17,1,1,2,3,1,34,0,0,0,2,2,1,1
26,.83,.93,1,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,2,2, ,2, ,2,1,2,2,1,1,1,1,1,1,2,4,1,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,4,2,1,1,1,1,7,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,2,4, , ,9,6,1,1,6, ,5, ,4, ,2,1,0,0,0,0,0,0, ,1,3,2,3,3,3,2,3, ,3,4,4,1,1,1,2,2,3,3,2,4,1,1,1,1,2,1,2,2,2, ,1, ,6, ,8,email, , , , , , , , , , , , ,2,1,1,1,2,2, , , , , , , , ,1,2,2,1,2,2,2, ,1, , ,1,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,3,4,4,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,4,2,2,17,2,54,10,3,2,1,1,4,1,13,4,1,4,9,1,93,0,0,1,0,3,1,1
28,.4014,.1135,1,5,1,1,1,1,1,1,1,1,1,1,2,2,2,2, ,1,1,1,1,1,2, ,1, ,1,1,1,2,1,1,2,2,2,1,1,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,1,1,1,1,80,2,2,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2, , ,100,15, ,2,1, ,2, ,3, ,1, , , , , , , , , ,1,2,1,4,4,3,4,1, , , , , , , , , , , ,3,1,2,2,1,2,2,1,2,2, ,1, ,6, ,7, ,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2, , , , , , ,2,2,2,1,2,2,2,1,2, ,2,2, ,0,1,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,1,1,10,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , ,2, ,4,2,4,17,1,44,12,4,2,1,1,3,1,19,3,1,2,3,1,31,0,0,0,1,2,1,1
29,2.8428,2.4427,1,2,1,1,1,2,2,1,2,1,2,1,2,2,1,2, ,2,2,1, , ,2, ,1, ,1,1,1,2,1,1,1,1,2,2,1,4,4,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,2,1,100,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,3, , , , ,50,1,1, ,3, ,5, ,4,1,0,0,0,0,0,0, ,2,2,2,1,2,3,3,1,1,3,3,4,1,2,2,2,1,2,3,3,1,1,2,2,1,2,2,2,1,2, ,6, ,7, ,8,text,2,3,3,3,3,3,3,3,3,4,1,1,2,1,1,1,2,2, , , , , , ,2,2,2,2,2,2,2,2,2, ,2,2, ,0,0,0,0,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,1,2,9,7,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,2, ,4,2,4,13,2,33,11,3,4,1,1,6,1,14,1,1,1,1,1,14,0,1,3,0,2,1,1
31, , ,1,5,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50,11,3,1,2,1,2,1,4,3,0,3,5,1,54,0,0,0,1,1,6,1
